"Klokkeslett","Lengde","Bane","Type","Lag 1","Lag 2","Resultat"
"11:00","20:00","Lyngenhallen","Gruppe 1","Lyngen/Karnes 2","Storfjord IL",""
"11:20","20:00","Lyngenhallen","Gruppe 1","Kåfjord","Nordreisa 2",""
"11:40","20:00","Lyngenhallen","Gruppe 2","Lyngen/Karnes 1","Skjervøy IK",""
"12:00","20:00","Lyngenhallen","Gruppe 1","Storfjord IL","Kåfjord",""
"12:20","20:00","Lyngenhallen","Gruppe 2","Skjervøy IK","Nordreisa 1",""
"12:40","20:00","Lyngenhallen","Gruppe 1","Nordreisa 2","Lyngen/Karnes 2",""
"13:00","20:00","Lyngenhallen","Gruppe 2","Lyngen/Karnes 1","Nordreisa 1",""
"13:20","20:00","Lyngenhallen","Gruppe 1","Kåfjord","Lyngen/Karnes 2",""
"13:40","20:00","Lyngenhallen","Gruppe 1","Storfjord IL","Nordreisa 2",""
"14:00","20:00","Lyngenhallen","Kvartfinale","Storfjord IL","Lyngen/Karnes 1",""
"14:20","20:00","Lyngenhallen","Kvartfinale","Nordreisa 1","Nordreisa 2",""
"14:40","20:00","Lyngenhallen","Kvartfinale","Skjervøy IK","Kåfjord",""
"15:00","30:00","Lyngenhallen","Semifinale","Lyngen/Karnes 2","Lyngen/Karnes 1",""
"15:30","30:00","Lyngenhallen","Semifinale","Skjervøy IK","Nordreisa 1",""
"16:00","30:00","Lyngenhallen","Finale","Nordreisa 1","Lyngen/Karnes 1",""
